Pesquisa Mensal de Comércio,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
"Tabela 10 - Índice de base fixa da receita nominal de vendas no comércio varejista (1) e comércio varejista ampliado (2), por atividades - abril 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos acumulado no ano no mês anterior"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atividades,Comércio varejista ampliado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abr/2021,mai/2021,jun/2021,jul/2021,ago/2021,set/2021,out/2021,nov/2021,dez/2021,jan/2022,fev/2022,mar/2022,abr/2022,,,,,,,,,,,,,,,,,,,,,,,
Comércio Varejista (1),134.63493,146.21732,141.93141,153.94509,146.62695,142.67922,151.69203,161.49762,189.0386,147.46626,141.85502,160.32979,164.66716,,,,,,,,,,,,,,,,,,,,,,,
1. Combustíveis e lubrificantes,127.24201,142.75918,141.5009,153.31799,147.28496,146.59472,154.69634,157.71767,163.63801,148.58162,147.38896,184.75725,186.48705,,,,,,,,,,,,,,,,,,,,,,,
"2. Hipermercados, supermercados, produtos alimentícios bebidas e fumo",155.61716,158.88044,153.82565,165.12304,162.44886,159.16625,170.34292,169.25287,204.55113,164.38398,163.19346,177.93727,186.80379,,,,,,,,,,,,,,,,,,,,,,,
2.1. Hipermercados e supermercados,158.59121,161.85421,156.48463,168.16962,165.13096,161.44313,173.27137,172.19531,208.75464,167.16125,165.27749,180.08802,189.85251,,,,,,,,,,,,,,,,,,,,,,,
"3. Tecidos, vestuário e calçados",64.46607,99.93598,95.49541,102.32044,93.54638,85.59436,97.14768,107.64123,181.7624,75.49458,76.55147,88.02616,98.63355,,,,,,,,,,,,,,,,,,,,,,,
4. Móveis e eletrodomésticos,97.11081,113.55887,105.51539,109.59256,105.34047,100.91115,100.00468,125.63845,130.71635,103.34773,93.86495,108.49459,102.24253,,,,,,,,,,,,,,,,,,,,,,,
4.1. Móveis,87.58627,101.22976,97.51882,107.45915,103.84514,95.15968,98.86515,110.62411,120.43201,92.62232,88.06434,98.31911,94.44513,,,,,,,,,,,,,,,,,,,,,,,
4.2. Eletrodomésticos,100.89453,118.57523,108.48478,109.65369,105.15835,102.78229,99.67233,131.78734,134.02777,107.71934,95.83015,112.5352,105.1516,,,,,,,,,,,,,,,,,,,,,,,
"5. Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos",180.35477,188.66872,185.48135,191.35502,188.88002,184.8398,188.50897,198.75772,228.16093,212.75135,189.41752,213.83492,208.17141,,,,,,,,,,,,,,,,,,,,,,,
"6. Livros, jornais, revistas e papelaria",35.71385,32.22933,38.83027,38.5063,37.61811,32.98922,34.93363,42.06182,61.0593,73.28593,63.83189,50.93981,37.50566,,,,,,,,,,,,,,,,,,,,,,,
"7. Equipamentos e materiais para escritório, informática e comunicação",67.97374,74.44114,72.28272,74.45395,69.68725,64.38223,70.8724,82.35082,82.65253,63.18391,66.79288,82.81242,70.63225,,,,,,,,,,,,,,,,,,,,,,,
8. Outros artigos de uso pessoal e doméstico,138.42109,158.52184,155.83032,188.89291,156.09093,149.95212,163.286,207.41422,214.39805,152.87822,134.30292,155.23628,159.61743,,,,,,,,,,,,,,,,,,,,,,,
Comércio Varejista Ampliado (2),129.01647,139.75654,137.95361,148.38437,144.29871,139.65518,145.31563,154.58033,172.11083,139.52874,135.18919,154.88103,153.18683,,,,,,,,,,,,,,,,,,,,,,,
"9. Veículos, motocicletas, partes e peças",104.69333,111.66018,115.45623,121.42402,125.20692,117.96884,116.6097,124.91742,129.08812,111.48675,111.14816,129.55855,119.6511,,,,,,,,,,,,,,,,,,,,,,,
10. Material de construção,153.39453,168.1386,169.75981,180.47096,179.24544,176.46957,176.01894,183.81363,162.14119,156.54477,150.83457,183.30293,158.43894,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Estatísticas Conjunturais em Empresas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:  Base: 2014 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) O indicador do comércio varejista é composto pelos resultados das atividades numeradas de 1 a 8. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) O indicador do comércio varejista ampliado é composto pelos resultados das atividades numeradas de 1 a 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
